date,close
2015-07-21,32.4
2015-07-22,31.43
2015-07-22,31.43
2015-07-23,32.08
2015-07-23,32.08
2015-07-24,31.07
2015-07-24,31.07
2015-07-27,27.95
2015-07-27,27.95
2015-07-28,27.87
2015-07-28,27.87
2015-07-29,28.4
2015-07-29,28.4
2015-07-30,27.97
2015-07-30,27.97
2015-07-31,28.24
2015-07-31,28.24
2015-08-03,28.98
2015-08-03,28.98
2015-08-04,29.22
2015-08-04,29.22
2015-08-05,28.19
2015-08-05,28.19
2015-08-06,27.89
2015-08-06,27.89
2015-08-07,28.2
2015-08-07,28.2
2015-08-10,29.28
2015-08-10,29.28
2015-08-11,28.77
2015-08-11,28.77
2015-08-12,28.09
2015-08-12,28.09
2015-08-13,28.33
2015-08-13,28.33
2015-08-14,28.09
2015-08-14,28.09
2015-08-17,27.15
2015-08-17,27.15
2015-08-18,26.07
2015-08-18,26.07
2015-08-19,26.07
2015-08-19,26.07
2015-08-20,25.04
2015-08-20,25.04
2015-08-21,23.53
2015-08-21,23.53
2015-08-24,22.01
2015-08-24,22.01
2015-08-25,21.35
2015-08-25,21.35
2015-08-26,21.99
2015-08-26,21.99
2015-08-27,24.15
2015-08-27,24.15
2015-08-28,24.79
2015-08-28,24.79
2015-08-31,25.45
2015-08-31,25.45
2015-09-01,26.05
2015-09-01,26.05
2015-09-02,26.43
2015-09-02,26.43
2015-09-07,24.54
2015-09-07,24.54
2015-09-08,25.41
2015-09-08,25.41
2015-09-09,25.58
2015-09-09,25.58
2015-09-10,25.4
2015-09-10,25.4
2015-09-11,25.07
2015-09-11,25.07
2015-09-14,26.27
2015-09-14,26.27
2015-09-15,26.94
2015-09-15,26.94
2015-09-16,27.4
2015-09-16,27.4
2015-09-17,26.45
2015-09-17,26.45
2015-09-18,26.3
2015-09-18,26.3
2015-09-21,26.26
2015-09-21,26.26
2015-09-22,27.02
2015-09-22,27.02
2015-09-23,26.46
2015-09-23,26.46
2015-09-24,26.41
2015-09-24,26.41
2015-09-25,26.4
2015-09-25,26.4
2015-09-28,26.16
2015-09-28,26.16
2015-09-29,25.65
2015-09-29,25.65
2015-09-30,25.52
2015-09-30,25.52
2015-10-08,25.9
2015-10-08,25.9
2015-10-09,26.38
2015-10-09,26.38
2015-10-12,26.94
2015-10-12,26.94
2015-10-13,26.82
2015-10-13,26.82
2015-10-14,26.48
2015-10-14,26.48
2015-10-15,26.8
2015-10-15,26.8
2015-10-16,27.13
2015-10-16,27.13
2015-10-19,27.39
2015-10-19,27.39
2015-10-20,27.28
2015-10-20,27.28
2015-10-21,27.19
2015-10-21,27.19
2015-10-22,27.12
2015-10-22,27.12
